0.149 33.7527 80.441 3.78544
0.15 33.7411 80.9613 3.784
0.151 33.7295 81.4815 3.78256
0.152 33.718 82.0013 3.78112
0.153 33.7065 82.5209 3.77968
0.154 33.6949 83.0402 3.77824
0.155 33.6834 83.5592 3.7768
0.156 33.6718 84.078 3.77536
0.157 33.6603 84.5965 3.77392
0.158 33.6488 85.1147 3.77248
0.159 33.6373 85.6327 3.77104
0.16 33.6258 86.1504 3.7696
0.161 33.6142 86.6678 3.76816
0.162 33.6027 87.185 3.76672
0.163 33.5912 87.7019 3.76528
0.164 33.5797 88.2185 3.76384
0.165 33.5682 88.7348 3.7624
0.166 33.5567 89.2509 3.76096
0.167 33.5452 89.7667 3.75952
0.168 33.5338 90.2823 3.75808
0.169 33.5223 90.7976 3.75664
0.17 33.5108 91.3126 3.7552
0.171 33.4993 91.8273 3.75376
0.172 33.4878 92.3418 3.75232
0.173 33.4764 92.856 3.75088
0.174 33.4649 93.3699 3.74944
0.175 33.4534 93.8836 3.748
0.176 33.442 94.397 3.74656
0.177 33.4305 94.9102 3.74512
0.178 33.4191 95.423 3.74368
0.179 33.4076 95.9356 3.74224
0.18 33.3962 96.448 3.7408
0.181 33.3848 96.96 3.73936
0.182 33.3733 97.4718 3.73792
0.183 33.3619 97.9834 3.73648
0.184 33.3505 98.4946 3.73504
0.185 33.339 99.0057 3.7336
0.186 33.3276 99.5164 3.73216
0.187 33.3162 100.027 3.73072
0.188 33.3048 100.537 3.72928
0.189 33.2934 101.047 3.72784
0.19 33.282 101.557 3.7264
0.191 33.2706 102.066 3.72496
0.192 33.2592 102.575 3.72352
0.193 33.2478 103.084 3.72208
0.194 33.2364 103.593 3.72064
0.195 33.225 104.101 3.7192
0.196 33.2136 104.609 3.71776
0.197 33.2023 105.117 3.71632
0.198 33.1909 105.625 3.71488
0.199 33.1795 106.132 3.71344
0.2 33.1681 106.639 3.712
0.201 33.1568 107.146 3.71056
0.202 33.1454 107.652 3.70912
0.203 33.1341 108.158 3.70768
0.204 33.1227 108.664 3.70624
0.205 33.1114 109.17 3.7048
0.206 33.1 109.675 3.70336
0.207 33.0887 110.181 3.70192
0.208 33.0773 110.685 3.70048
0.209 33.066 111.19 3.69904
0.21 33.0547 111.694 3.6976
0.211 33.0433 112.199 3.69616
0.212 33.032 112.702 3.69472
0.213 33.0207 113.206 3.69328
0.214 33.0094 113.709 3.69184
0.215 32.9981 114.212 3.6904
0.216 32.9868 114.715 3.68896
0.217 32.9755 115.218 3.68752
0.218 32.9642 115.72 3.68608
0.219 32.9529 116.222 3.68464
0.22 32.9416 116.724 3.6832
0.221 32.9303 117.225 3.68176
