40  40  k_cn  k_msh  
13		Alfa Points
2.0		Alfa Step
cn	M=0.60 01         	 02         	 03         	 04         	 05         	 06         	 07         	 08         	 09         	 10         	 11         	 12         	 13         	 14         	 15         	 16         	 17         	 18         	 19         	 20         	 21         	 22         	 23         	 24         	 25         	 26         	 27         	 28         	 29         	 30         	 31         	 32         	 33         	 34         	 35         	 36         	 37         	 38         	 39         	 40         	
  0	 3.3040e-002	-4.3368e-018	-4.3743e-019	 0.0000e+000	 1.7347e-018	-2.6021e-018	 5.2042e-018	-8.6736e-019	 1.0810e+000	 2.0948e+000	-1.1939e+000	 3.9882e+000	 1.3878e-016	 1.5543e-015	-3.3307e-015	 6.2172e-015	-2.9415e-016	 4.9422e-016	-1.2909e-015	 2.7480e-015	-5.8287e-016	-1.7764e-015	 3.8858e-016	 1.7764e-015	-1.8041e-016	 1.6653e-015	-2.3315e-015	 2.2204e-015	 1.9429e-016	-6.6613e-016	 5.5511e-016	 4.4409e-015	 1.3878e-016	-8.8818e-016	-3.3307e-016	 0.0000e+000	-5.5511e-017	 7.7716e-016	 4.4409e-016	-4.4409e-016
  2	 3.2940e-002	-1.1300e-003	-2.0000e-004	-1.1300e-003	-1.0000e-004	 3.1112e-002	-4.4700e-003	-1.9082e-003	 1.1011e+000	 2.0865e+000	-1.1939e+000	 3.9882e+000	-4.8991e-002	-2.7380e-002	 2.8163e-009	-6.2655e-009	-1.6866e-002	 8.3917e-002	-2.1820e-009	 4.6285e-009	 4.1431e-003	 7.2436e-002	-1.4716e-010	 1.0648e-009	-4.5013e-003	 3.2520e-002	-2.4356e-010	 2.8610e-010	 1.7587e-010	 9.8285e-011	 9.2022e-001	-1.9048e+000	 1.2109e-010	-6.0249e-010	-2.3607e-001	 5.6498e-001	-4.4618e-011	-7.8009e-010	 3.1567e-002	 4.5745e-002
  4	 3.2820e-002	-1.7900e-003	-4.4000e-004	-1.7900e-003	-2.2000e-004	 7.7701e-002	-1.8315e-002	-5.0886e-003	 1.1519e+000	 1.8650e+000	-1.1939e+000	 3.9882e+000	-7.4150e-002	-3.2861e-002	 4.4515e-009	-1.0401e-008	-5.8162e-002	 3.8914e-001	-3.9472e-009	 8.2899e-009	 3.0548e-002	 7.7343e-002	 8.1745e-010	-1.0307e-010	 6.6606e-003	 2.1749e-003	-6.6087e-010	 1.1069e-009	 2.6618e-010	 1.1796e-010	 1.6082e+000	-3.5140e+000	 4.1758e-010	-2.7938e-009	-3.6568e-001	 8.4629e-001	-3.2899e-010	-8.3293e-010	 1.9864e-001	-2.1514e-001
  6	 3.3197e-002	-1.9600e-003	 3.1500e-004	-1.9600e-003	 1.5750e-004	 1.3661e-001	-4.5465e-002	-1.4910e-002	 1.2529e+000	 1.5620e+000	-1.1939e+000	 3.9882e+000	-1.0419e-001	 1.2668e-001	 5.1195e-009	-1.2884e-008	-1.4046e-001	 7.0802e-001	-5.6451e-009	 1.3733e-008	 6.6178e-002	-8.5314e-002	 2.6192e-009	-4.1187e-009	 1.4456e-002	-5.1499e-003	-1.0468e-009	 1.6350e-009	 3.7403e-010	-4.5475e-010	 2.0093e+000	-4.5001e+000	 1.0084e-009	-5.0833e-009	-4.9466e-001	 1.4574e+000	-7.1270e-010	 9.1878e-010	 4.3762e-001	-6.8608e-001
  8	 3.3733e-002	-1.5450e-003	 1.3850e-003	-1.5450e-003	 6.9250e-004	 2.0601e-001	-8.0870e-002	-2.8499e-002	 1.3933e+000	 1.2634e+000	-1.1939e+000	 3.9882e+000	-1.7756e-001	 4.6312e-001	 5.2072e-009	-1.3385e-008	-3.0212e-001	 1.2331e+000	-6.1049e-009	 1.4648e-008	 1.2390e-001	-2.8388e-001	 2.7371e-009	-3.3896e-009	 3.5753e-002	-4.7313e-002	-9.1972e-010	 1.0632e-009	 6.3741e-010	-1.6625e-009	 1.9630e+000	-4.3210e+000	 2.1691e-009	-8.8532e-009	-5.9411e-001	 1.7441e+000	-1.3344e-009	 3.0572e-009	 4.2496e-001	-5.1220e-001
 10	 3.3000e-002	-4.2900e-003	-8.0001e-005	-4.2900e-003	-4.0000e-005	 2.7600e-001	-1.3209e-001	-5.0291e-002	 1.5800e+000	 8.3043e-001	-1.1939e+000	 3.9882e+000	-3.2557e-001	 1.0005e+000	 3.2575e-009	-8.8340e-009	-5.0330e-001	 1.8783e+000	-5.8532e-009	 1.4094e-008	 2.4689e-001	-5.9549e-001	 4.1349e-009	-6.1650e-009	 2.8985e-002	-1.5306e-002	-7.6959e-010	 4.5263e-010	 1.1687e-009	-3.5916e-009	 1.3362e+000	-2.7131e+000	 3.6135e-009	-1.3485e-008	-6.0088e-001	 1.8369e+000	-2.6589e-009	 6.4131e-009	 5.2687e-001	-6.5651e-001
 12	 3.2230e-002	-6.1700e-003	-1.6200e-003	-6.1700e-003	-8.1000e-004	 3.3549e-001	-1.9516e-001	-6.8852e-002	 1.7486e+000	 3.4790e-001	-1.1939e+000	 3.9882e+000	-4.6947e-001	 1.5215e+000	 5.5807e-010	-3.0810e-009	-6.0272e-001	 2.2465e+000	-5.7238e-009	 1.5707e-008	 4.2536e-001	-1.1067e+000	 6.3695e-009	-1.3119e-008	 4.0107e-003	 1.0493e-001	-6.0185e-010	 2.4681e-010	 1.6853e-009	-5.4619e-009	 4.9077e-001	-9.9579e-001	 4.3272e-009	-1.6129e-008	-6.2958e-001	 2.1190e+000	-4.5808e-009	 1.1919e-008	 7.0321e-001	-1.2641e+000
 14	 3.4300e-002	 8.3000e-004	 2.5200e-003	 8.3000e-004	 1.2600e-003	 3.9928e-001	-2.6665e-001	-1.0021e-001	 2.0126e+000	-8.3582e-001	-1.1939e+000	 3.9882e+000	-6.6392e-001	 2.3990e+000	-2.8372e-010	-9.5896e-009	-7.4237e-001	 2.9353e+000	-9.5626e-009	 3.7232e-008	 7.0103e-001	-2.2485e+000	 1.0691e-008	-2.8130e-008	-3.4309e-002	 3.2502e-001	-4.2240e-010	 2.4339e-010	 2.3833e-009	-8.6118e-009	 1.5630e-001	-2.8070e+000	 5.3299e-009	-2.1074e-008	-1.2142e+000	 5.1181e+000	-7.5497e-009	 2.4215e-008	 1.0712e+000	-2.6572e+000
 16	 3.3906e-002	 5.0675e-003	 1.7325e-003	 5.0675e-003	 8.6625e-004	 4.8316e-001	-3.3339e-001	-1.3390e-001	 2.2249e+000	-1.7178e+000	-1.1939e+000	 3.9882e+000	-6.7465e-001	 2.6128e+000	-2.0259e-009	-1.4540e-008	-8.7767e-001	 3.5951e+000	-9.9874e-009	 4.4265e-008	 8.0096e-001	-2.7433e+000	 1.0851e-008	-2.3063e-008	-1.5692e-002	 2.3164e-001	 5.8130e-010	-3.3311e-009	 2.4219e-009	-9.3795e-009	-8.8822e-001	-2.1944e+000	 6.3013e-009	-2.5811e-008	-1.5530e+000	 7.0934e+000	-8.6258e-009	 2.9544e-008	 8.9960e-001	-1.5229e+000
 18	 3.2686e-002	 7.4625e-003	-7.0750e-004	 7.4625e-003	-3.5375e-004	 5.7061e-001	-3.8080e-001	-1.3815e-001	 2.2524e+000	-1.9084e+000	-1.1939e+000	 3.9882e+000	-5.8510e-001	 2.4582e+000	-5.9005e-009	-9.4862e-009	-8.5793e-001	 3.5929e+000	-3.5956e-009	 3.2140e-008	 7.2125e-001	-2.5859e+000	 5.7974e-009	-7.7927e-009	-1.3826e-002	 2.6359e-001	 1.8493e-009	-7.4308e-009	 2.1004e-009	-8.8243e-009	-2.6740e+000	 1.4974e+000	 6.1596e-009	-2.5796e-008	-1.0160e+000	 6.5466e+000	-7.7674e-009	 2.7849e-008	 1.9489e-001	 6.5639e-001
 20	 2.8395e-002	 4.8150e-003	-9.2900e-003	 4.8150e-003	-4.6450e-003	 6.6573e-001	-4.1022e-001	-1.2811e-001	 2.0667e+000	-1.4939e+000	-1.1939e+000	 3.9882e+000	-4.3832e-001	 2.1735e+000	-1.4687e-008	 9.8954e-009	-8.3179e-001	 3.5591e+000	 1.2883e-008	-8.1296e-009	 5.0969e-001	-2.1094e+000	-1.0904e-009	 1.1556e-008	 5.5770e-002	 6.3563e-002	 1.4471e-009	-6.6610e-009	 1.5735e-009	-7.8024e-009	-4.8974e+000	 6.4676e+000	 5.9719e-009	-2.5553e-008	 1.3913e+000	 7.2321e-001	-5.4891e-009	 2.2717e-008	-3.6999e-001	 2.3101e+000
