3.44 3.26 3.11 2.97 2.84 2.72 2.62 2.52 2.42 2.34 2.26 2.19 2.12 2.05 1.99 1.93 1.88 1.83 1.78 1.73 1.69 1.61 1.53 1.47 1.41 1.35 1.12 0.96 0.84 0.75 0.67
18.88 17.66 16.62 15.72 14.93 14.23 13.59 13.02 12.50 12.02 11.58 11.17 10.79 10.44 10.11 9.80 9.51 9.24 8.99 8.75 8.52 8.10 7.72 7.37 7.06 6.77 5.62 4.81 4.21 3.74 3.36
689.64 40.40 36.97 34.30 32.11 30.26 28.67 27.27 26.02 24.91 23.90 22.98 22.13 21.36 20.64 19.97 19.35 18.77 18.22 17.71 17.23 16.34 15.55 14.83 14.18 13.59 11.25 9.62 8.40 7.46 6.71
692.79 660.32 621.53 57.78 52.72 48.84 45.70 43.06 40.80 38.82 37.06 35.49 34.07 32.78 31.60 30.51 29.50 28.57 27.72 26.89 26.12 24.73 23.49 22.38 21.37 20.46 16.89 14.41 12.58 11.17 10.05
695.79 664.35 627.51 579.94 79.53 71.35 65.46 60.87 57.11 53.94 51.21 48.81 46.67 44.76 43.03 41.45 40.00 38.66 37.43 36.28 35.21 33.26 31.54 30.00 28.62 27.37 22.53 19.20 16.75 14.86 13.37
698.68 668.16 632.95 589.20 123.31 101.09 89.44 81.47 75.41 70.55 66.49 63.02 60.00 57.33 54.95 52.80 50.84 49.05 47.40 45.88 44.47 41.93 39.69 37.71 35.93 34.33 28.18 23.98 20.90 18.54 16.67
701.45 671.76 637.96 597.15 541.07 150.85 120.90 106.19 96.36 88.99 83.13 78.27 74.14 70.55 67.39 64.57 62.04 59.73 57.63 55.70 53.92 50.72 47.94 45.48 43.29 41.32 33.82 28.74 25.04 22.21 19.97
704.13 675.18 642.62 604.16 554.37 468.85 169.98 137.64 120.99 109.78 101.39 94.70 89.17 84.46 80.39 76.80 73.60 70.72 68.11 65.73 63.54 59.65 56.28 53.32 50.70 48.35 39.46 33.50 29.16 25.86 23.24
706.71 678.45 646.97 610.45 565.09 499.14 299.02 181.50 150.95 133.59 121.58 112.48 105.18 99.13 93.96 89.48 85.53 82.01 78.84 75.97 73.34 68.70 64.70 61.22 58.14 55.40 45.10 38.23 33.27 29.49 26.51
709.20 681.57 651.06 616.19 574.15 518.03 419.47 249.01 188.67 161.24 144.08 131.78 122.27 114.58 108.15 102.64 97.84 93.60 89.82 86.40 83.30 77.86 73.21 69.18 65.63 62.48 50.73 42.96 37.36 33.11 29.75
711.62 684.57 654.93 621.48 582.07 532.20 459.26 332.89 236.20 193.49 169.18 152.74 140.50 130.86 122.94 116.27 110.52 105.49 101.03 97.03 93.42 87.13 81.79 77.18 73.15 69.58 56.35 47.67 41.43 36.71 32.99
716.25 690.24 662.10 630.97 595.52 553.47 500.49 428.65 339.64 269.69 226.99 199.60 180.34 165.82 154.32 144.88 136.92 130.09 124.11 118.82 114.09 105.94 99.13 93.31 88.26 83.82 67.57 57.03 49.53 43.86 39.41
720.62 695.52 668.65 639.37 606.78 569.59 525.78 472.49 408.34 342.12 288.74 250.73 223.58 203.37 187.66 175.00 164.50 155.60 147.92 141.19 135.22 125.06 116.66 109.55 103.43 98.08 78.72 66.33 57.55 50.95 45.77
724.78 700.48 674.69 646.93 616.55 582.75 544.44 500.35 449.76 395.04 343.23 300.43 267.33 241.90 221.99 205.98 192.79 181.70 172.19 163.93 156.65 144.36 134.29 125.84 118.61 112.32 89.80 75.54 65.50 57.96 52.06
728.74 705.15 680.31 653.82 625.22 593.96 559.42 520.95 478.23 432.20 385.97 343.79 308.19 279.27 255.93 236.91 221.17 207.92 196.60 186.78 178.17 163.69 151.93 142.11 133.75 126.51 100.80 84.67 73.36 64.91 58.30
732.53 709.59 685.75 660.17 633.03 603.78 572.01 537.40 499.81 459.76 418.82 379.49 344.08 313.67 288.15 266.83 248.93 233.76 220.74 209.44 199.54 182.92 169.47 158.28 148.79 140.59 111.69 93.70 81.15 71.78 64.47
736.16 713.80 690.53 666.07 640.17 612.54 582.94 551.17 517.21 481.41 444.69 408.54 374.67 344.26 317.75 294.97 275.48 258.73 244.25 231.63 220.53 201.89 186.80 174.28 163.67 154.53 122.47 102.64 88.85 78.58 70.58
739.65 717.83 695.21 671.60 646.76 620.49 592.62 563.06 531.83 499.19 465.75 432.48 400.54 370.96 344.37 320.89 300.37 282.47 266.83 253.08 240.94 220.46 203.83 190.03 178.34 168.29 133.13 111.48 96.47 85.31 76.63
743.01 721.68 699.67 676.79 652.88 627.77 601.34 573.56 544.46 514.27 483.42 452.58 422.56 394.19 368.05 344.45 323.40 304.75 288.24 273.61 260.59 238.49 220.46 205.46 192.75 181.82 143.64 120.21 104.00 91.97 82.61
746.26 725.38 703.91 681.70 658.61 634.50 609.29 582.98 555.61 527.38 498.62 469.80 441.54 414.45 389.07 365.71 344.52 325.46 308.37 293.08 279.37 255.90 236.63 220.53 206.86 195.09 154.00 128.82 111.44 98.55 88.53
749.40 728.93 707.97 686.37 664.00 640.76 616.61 591.54 565.61 538.98 511.93 484.82 458.11 432.27 407.76 384.88 363.81 344.60 327.18 311.43 297.19 272.62 252.27 235.18 220.63 208.08 164.20 137.33 118.79 105.06 94.39
752.44 732.36 711.86 690.81 669.09 646.64 623.40 599.39 574.68 549.41 523.79 498.12 472.76 448.09 424.46 402.17 381.40 362.24 344.68 328.65 314.05 288.60 267.34 249.38 234.03 220.76 174.23 145.71 126.05 111.49 100.19
755.39 735.67 715.60 695.05 673.93 652.17 629.74 606.66 583.00 558.88 534.48 510.05 485.87 462.26 439.49 417.83 397.46 378.49 360.93 344.77 329.93 303.83 281.82 263.11 247.04 233.11 184.09 153.97 133.22 117.85 105.92
758.26 738.88 719.20 699.11 678.53 657.40 635.70 613.44 590.69 567.56 544.22 520.86 497.72 475.06 453.11 432.09 412.17 393.46 376.02 359.83 344.86 318.31 295.69 276.34 259.65 245.12 193.75 162.11 140.29 124.13 111.59
761.04 741.98 722.67 703.02 682.93 662.37 641.31 619.78 597.84 575.59 553.17 530.75 508.53 486.72 465.52 445.13 425.68 407.30 390.03 373.91 358.90 332.05 308.97 289.08 271.84 256.78 203.23 170.12 147.26 130.34 117.19
763.76 745.00 726.03 706.77 687.15 667.10 646.64 625.76 604.54 583.06 561.45 539.86 518.46 497.42 476.92 457.12 438.15 420.11 403.08 387.07 372.09 345.08 321.66 301.33 283.62 268.09 212.52 178.01 154.14 136.46 122.73
776.36 758.87 741.36 723.74 705.95 687.98 669.8 651.43 632.91 614.31 595.68 577.13 558.75 540.62 522.84 505.49 488.65 472.38 456.73 441.73 427.42 400.84 376.96 355.58 336.47 319.37 256.03 215.46 187.1 165.97 149.51
787.66 771.18 754.77 738.38 721.96 705.46 688.89 672.24 655.54 638.82 622.15 605.57 589.15 572.94 557.01 541.4 526.17 511.35 496.98 483.08 469.66 444.36 421.08 399.79 380.37 362.67 294.77 249.69 217.66 193.59 174.75
797.95 782.29 766.78 751.35 735.98 720.62 705.25 689.87 674.5 659.16 643.89 628.72 613.7 598.87 584.28 569.95 555.93 542.24 528.91 515.94 503.37 479.41 457.06 436.31 417.11 399.38 329.16 280.87 245.93 219.41 198.5
807.44 792.46 777.68 763.04 748.52 734.05 719.64 705.26 690.92 676.63 662.43 648.33 634.38 620.61 607.03 593.7 580.62 567.82 555.32 543.13 531.27 508.53 487.14 467.08 448.33 430.84 359.76 309.28 272.07 243.52 220.86
816.25 801.85 787.69 773.72 759.89 746.17 732.53 718.95 705.44 692.01 678.66 665.42 652.32 639.37 626.62 614.07 601.75 589.67 577.86 566.31 555.05 533.37 512.86 493.5 475.28 458.15 387.12 335.21 296.26 266.05 241.89
824.5 810.61 796.98 783.57 770.34 757.24 744.24 731.34 718.51 705.77 693.13 680.59 668.19 655.93 643.84 631.94 620.24 608.77 597.52 586.52 575.76 555.01 535.29 516.59 498.9 482.17 411.71 358.95 318.7 287.14 261.71
832.28 818.83 805.66 792.74 780.01 767.44 755 742.66 730.42 718.27 706.22 694.27 682.45 670.77 659.24 647.89 636.72 625.75 614.99 604.45 594.13 574.18 555.16 537.06 519.88 503.57 433.97 380.78 339.56 306.9 280.41
839.63 826.58 813.83 801.32 789.04 776.93 764.96 753.11 741.37 729.73 718.18 706.75 695.43 684.24 673.19 662.31 651.59 641.06 630.72 620.57 610.63 591.39 572.99 555.44 538.73 522.81 454.24 400.92 359.01 325.48 298.08
